end_result,game,game_id,period,play,player,playoffs,score,season,shot_made,time
91 - 103,TOR - MIA,400875895,2,Bismack Biyombo misses free throw 1 of 2,Bismack Biyombo,playoffs,43 - 52,2015 - 2016,0,0:20
91 - 103,TOR - MIA,400875895,2,Bismack Biyombo makes free throw 2 of 2,Bismack Biyombo,playoffs,44 - 52,2015 - 2016,1,0:20
91 - 103,TOR - MIA,400875895,2,Dwyane Wade misses free throw 1 of 2,Dwyane Wade,playoffs,44 - 52,2015 - 2016,0,0:08
91 - 103,TOR - MIA,400875895,2,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,playoffs,44 - 53,2015 - 2016,1,0:08
91 - 103,TOR - MIA,400875895,3,Justise Winslow makes free throw 1 of 2,Justise Winslow,playoffs,44 - 54,2015 - 2016,1,11:30
91 - 103,TOR - MIA,400875895,3,Justise Winslow misses free throw 2 of 2,Justise Winslow,playoffs,44 - 54,2015 - 2016,0,11:30
91 - 103,TOR - MIA,400875895,3,Kyle Lowry makes free throw 1 of 1,Kyle Lowry,playoffs,49 - 54,2015 - 2016,1,10:49
91 - 103,TOR - MIA,400875895,3,Joe Johnson makes free throw 1 of 2,Joe Johnson,playoffs,54 - 59,2015 - 2016,1,9:10
91 - 103,TOR - MIA,400875895,3,Joe Johnson makes free throw 2 of 2,Joe Johnson,playoffs,54 - 60,2015 - 2016,1,9:10
91 - 103,TOR - MIA,400875895,3,Justise Winslow makes free throw 1 of 2,Justise Winslow,playoffs,56 - 61,2015 - 2016,1,8:29
91 - 103,TOR - MIA,400875895,3,Justise Winslow makes free throw 2 of 2,Justise Winslow,playoffs,56 - 62,2015 - 2016,1,8:29
91 - 103,TOR - MIA,400875895,3,Goran Dragic makes free throw 1 of 1,Goran Dragic,playoffs,60 - 71,2015 - 2016,1,5:07
91 - 103,TOR - MIA,400875895,3,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,playoffs,67 - 77,2015 - 2016,1,2:02
91 - 103,TOR - MIA,400875895,3,DeMar DeRozan makes free throw 2 of 2,DeMar DeRozan,playoffs,68 - 77,2015 - 2016,1,2:02
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,playoffs,77 - 86,2015 - 2016,1,9:56
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,78 - 86,2015 - 2016,1,9:56
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,playoffs,79 - 88,2015 - 2016,1,9:17
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,80 - 88,2015 - 2016,1,9:17
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,playoffs,83 - 94,2015 - 2016,1,5:30
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,84 - 94,2015 - 2016,1,5:30
91 - 103,TOR - MIA,400875895,4,Dwyane Wade makes free throw 1 of 2,Dwyane Wade,playoffs,84 - 95,2015 - 2016,1,4:07
91 - 103,TOR - MIA,400875895,4,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,playoffs,84 - 96,2015 - 2016,1,4:07
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,playoffs,87 - 96,2015 - 2016,1,2:42
91 - 103,TOR - MIA,400875895,4,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,88 - 96,2015 - 2016,1,2:42
89 - 116,MIA - TOR,400875896,1,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,playoffs,3-Feb,2015 - 2016,1,10:22
89 - 116,MIA - TOR,400875896,1,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,4-Feb,2015 - 2016,1,10:22
89 - 116,MIA - TOR,400875896,1,Justise Winslow misses free throw 1 of 2,Justise Winslow,playoffs,8-Apr,2015 - 2016,0,8:32
89 - 116,MIA - TOR,400875896,1,Justise Winslow makes free throw 2 of 2,Justise Winslow,playoffs,8-May,2015 - 2016,1,8:32
89 - 116,MIA - TOR,400875896,1,DeMarre Carroll makes free throw 1 of 2,DeMarre Carroll,playoffs,9-Jul,2015 - 2016,1,7:26
89 - 116,MIA - TOR,400875896,1,DeMarre Carroll makes free throw 2 of 2,DeMarre Carroll,playoffs,10-Jul,2015 - 2016,1,7:26
89 - 116,MIA - TOR,400875896,1,Patrick Patterson makes free throw 1 of 2,Patrick Patterson,playoffs,11-Jul,2015 - 2016,1,6:31
89 - 116,MIA - TOR,400875896,1,Patrick Patterson makes free throw 2 of 2,Patrick Patterson,playoffs,12-Jul,2015 - 2016,1,6:31
89 - 116,MIA - TOR,400875896,1,DeMarre Carroll makes free throw 1 of 2,DeMarre Carroll,playoffs,15-Nov,2015 - 2016,1,5:22
89 - 116,MIA - TOR,400875896,1,DeMarre Carroll makes free throw 2 of 2,DeMarre Carroll,playoffs,16-Nov,2015 - 2016,1,5:22
89 - 116,MIA - TOR,400875896,1,Luol Deng makes free throw 1 of 2,Luol Deng,playoffs,16-Dec,2015 - 2016,1,5:05
89 - 116,MIA - TOR,400875896,1,Luol Deng makes free throw 2 of 2,Luol Deng,playoffs,13 - 16,2015 - 2016,1,5:05
89 - 116,MIA - TOR,400875896,1,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,playoffs,15 - 19,2015 - 2016,1,3:34
89 - 116,MIA - TOR,400875896,1,DeMar DeRozan misses free throw 2 of 2,DeMar DeRozan,playoffs,15 - 19,2015 - 2016,0,3:34
89 - 116,MIA - TOR,400875896,1,Luol Deng makes free throw 1 of 2,Luol Deng,playoffs,21 - 23,2015 - 2016,1,0:46
89 - 116,MIA - TOR,400875896,1,Luol Deng makes free throw 2 of 2,Luol Deng,playoffs,22 - 23,2015 - 2016,1,0:46
89 - 116,MIA - TOR,400875896,1,Goran Dragic misses free throw 1 of 1,Goran Dragic,playoffs,24 - 23,2015 - 2016,0,0:27
89 - 116,MIA - TOR,400875896,2,Kyle Lowry misses free throw 1 of 2,Kyle Lowry,playoffs,24 - 28,2015 - 2016,0,10:26
89 - 116,MIA - TOR,400875896,2,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,24 - 29,2015 - 2016,1,10:26
89 - 116,MIA - TOR,400875896,2,Kyle Lowry misses free throw 1 of 2,Kyle Lowry,playoffs,26 - 29,2015 - 2016,0,9:42
89 - 116,MIA - TOR,400875896,2,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,26 - 30,2015 - 2016,1,9:42
89 - 116,MIA - TOR,400875896,2,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,playoffs,37 - 37,2015 - 2016,1,5:22
89 - 116,MIA - TOR,400875896,2,DeMar DeRozan makes free throw 2 of 2,DeMar DeRozan,playoffs,37 - 38,2015 - 2016,1,5:22
89 - 116,MIA - TOR,400875896,2,Patrick Patterson makes free throw 1 of 1,Patrick Patterson,playoffs,39 - 46,2015 - 2016,1,3:15
89 - 116,MIA - TOR,400875896,2,DeMar DeRozan misses free throw 1 of 2,DeMar DeRozan,playoffs,39 - 46,2015 - 2016,0,2:15
89 - 116,MIA - TOR,400875896,2,DeMar DeRozan misses free throw 2 of 2,DeMar DeRozan,playoffs,39 - 46,2015 - 2016,0,2:15
89 - 116,MIA - TOR,400875896,2,Dwyane Wade misses free throw 1 of 2,Dwyane Wade,playoffs,46 - 51,2015 - 2016,0,0:06
89 - 116,MIA - TOR,400875896,2,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,playoffs,47 - 51,2015 - 2016,1,0:06
89 - 116,MIA - TOR,400875896,2,Kyle Lowry makes free throw 1 of 2,Kyle Lowry,playoffs,47 - 52,2015 - 2016,1,0:00
89 - 116,MIA - TOR,400875896,2,Kyle Lowry makes free throw 2 of 2,Kyle Lowry,playoffs,47 - 53,2015 - 2016,1,0:00
89 - 116,MIA - TOR,400875896,3,Kyle Lowry makes free throw 1 of 3,Kyle Lowry,playoffs,49 - 54,2015 - 2016,1,10:38
89 - 116,MIA - TOR,400875896,3,Kyle Lowry makes free throw 2 of 3,Kyle Lowry,playoffs,49 - 55,2015 - 2016,1,10:38
89 - 116,MIA - TOR,400875896,3,Kyle Lowry misses free throw 3 of 3,Kyle Lowry,playoffs,49 - 55,2015 - 2016,0,10:38
89 - 116,MIA - TOR,400875896,3,Goran Dragic makes free throw 1 of 2,Goran Dragic,playoffs,50 - 55,2015 - 2016,1,10:21
89 - 116,MIA - TOR,400875896,3,Goran Dragic makes free throw 2 of 2,Goran Dragic,playoffs,51 - 55,2015 - 2016,1,10:21
89 - 116,MIA - TOR,400875896,3,Bismack Biyombo misses free throw 1 of 2,Bismack Biyombo,playoffs,56 - 62,2015 - 2016,0,8:15
89 - 116,MIA - TOR,400875896,3,Bismack Biyombo misses free throw 2 of 2,Bismack Biyombo,playoffs,56 - 62,2015 - 2016,0,8:15
89 - 116,MIA - TOR,400875896,3,Bismack Biyombo misses free throw 1 of 1,Bismack Biyombo,playoffs,56 - 64,2015 - 2016,0,8:06
89 - 116,MIA - TOR,400875896,3,DeMar DeRozan makes free throw 1 of 1,DeMar DeRozan,playoffs,58 - 70,2015 - 2016,1,6:43
89 - 116,MIA - TOR,400875896,3,Bismack Biyombo makes free throw 1 of 2,Bismack Biyombo,playoffs,58 - 75,2015 - 2016,1,5:11
89 - 116,MIA - TOR,400875896,3,Bismack Biyombo misses free throw 2 of 2,Bismack Biyombo,playoffs,58 - 75,2015 - 2016,0,5:11
89 - 116,MIA - TOR,400875896,3,Justise Winslow makes free throw 1 of 2,Justise Winslow,playoffs,66 - 77,2015 - 2016,1,3:11
89 - 116,MIA - TOR,400875896,3,Justise Winslow makes free throw 2 of 2,Justise Winslow,playoffs,67 - 77,2015 - 2016,1,3:11
89 - 116,MIA - TOR,400875896,3,Justise Winslow makes free throw 1 of 2,Justise Winslow,playoffs,68 - 77,2015 - 2016,1,2:49
89 - 116,MIA - TOR,400875896,3,Justise Winslow makes free throw 2 of 2,Justise Winslow,playoffs,69 - 77,2015 - 2016,1,2:49
89 - 116,MIA - TOR,400875896,3,Patrick Patterson makes free throw 1 of 2,Patrick Patterson,playoffs,69 - 81,2015 - 2016,1,1:58
89 - 116,MIA - TOR,400875896,3,Patrick Patterson makes free throw 2 of 2,Patrick Patterson,playoffs,69 - 82,2015 - 2016,1,1:58
89 - 116,MIA - TOR,400875896,3,Dwyane Wade misses free throw 1 of 2,Dwyane Wade,playoffs,69 - 82,2015 - 2016,0,1:46
89 - 116,MIA - TOR,400875896,3,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,playoffs,70 - 82,2015 - 2016,1,1:46
89 - 116,MIA - TOR,400875896,4,Josh McRoberts makes free throw 1 of 2,Josh McRoberts,playoffs,79 - 88,2015 - 2016,1,10:57
89 - 116,MIA - TOR,400875896,4,Josh McRoberts makes free throw 2 of 2,Josh McRoberts,playoffs,80 - 88,2015 - 2016,1,10:57
89 - 116,MIA - TOR,400875896,4,Cory Joseph misses free throw 1 of 2,Cory Joseph,playoffs,80 - 96,2015 - 2016,0,8:59
89 - 116,MIA - TOR,400875896,4,Cory Joseph makes free throw 2 of 2,Cory Joseph,playoffs,80 - 97,2015 - 2016,1,8:59
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo makes free throw 2 of 2,Bismack Biyombo,playoffs,82 - 98,2015 - 2016,1,7:54
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo misses free throw 1 of 1,Bismack Biyombo,playoffs,82 - 98,2015 - 2016,0,7:54
89 - 116,MIA - TOR,400875896,4,Patrick Patterson makes free throw 1 of 2,Patrick Patterson,playoffs,82 - 101,2015 - 2016,1,7:30
89 - 116,MIA - TOR,400875896,4,Patrick Patterson makes free throw 2 of 2,Patrick Patterson,playoffs,82 - 102,2015 - 2016,1,7:30
89 - 116,MIA - TOR,400875896,4,Goran Dragic makes free throw 1 of 2,Goran Dragic,playoffs,85 - 102,2015 - 2016,1,6:01
89 - 116,MIA - TOR,400875896,4,Goran Dragic makes free throw 2 of 2,Goran Dragic,playoffs,86 - 102,2015 - 2016,1,6:01
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo misses free throw 1 of 2,Bismack Biyombo,playoffs,86 - 104,2015 - 2016,0,5:09
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo misses free throw 2 of 2,Bismack Biyombo,playoffs,86 - 104,2015 - 2016,0,5:09
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo makes free throw 1 of 2,Bismack Biyombo,playoffs,86 - 105,2015 - 2016,1,4:56
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo makes free throw 2 of 2,Bismack Biyombo,playoffs,86 - 106,2015 - 2016,1,4:56
89 - 116,MIA - TOR,400875896,4,Bismack Biyombo makes free throw 1 of 1,Bismack Biyombo,playoffs,86 - 114,2015 - 2016,1,2:27
89 - 116,MIA - TOR,400875896,4,Justise Winslow misses free throw 1 of 2,Justise Winslow,playoffs,88 - 114,2015 - 2016,0,0:43
89 - 116,MIA - TOR,400875896,4,Justise Winslow makes free throw 2 of 2,Justise Winslow,playoffs,89 - 114,2015 - 2016,1,0:43
93 - 104,ATL - CLE,400875765,1,Kevin Love makes free throw 1 of 2,Kevin Love,playoffs,17-Nov,2015 - 2016,1,6:26
93 - 104,ATL - CLE,400875765,1,Kevin Love makes free throw 2 of 2,Kevin Love,playoffs,18-Nov,2015 - 2016,1,6:26
93 - 104,ATL - CLE,400875765,2,Paul Millsap makes free throw 1 of 2,Paul Millsap,playoffs,20 - 30,2015 - 2016,1,11:42
93 - 104,ATL - CLE,400875765,2,Paul Millsap misses free throw 2 of 2,Paul Millsap,playoffs,20 - 30,2015 - 2016,0,11:42
93 - 104,ATL - CLE,400875765,2,Dennis Schroder makes free throw 1 of 2,Dennis Schroder,playoffs,21 - 32,2015 - 2016,1,10:37
93 - 104,ATL - CLE,400875765,2,Dennis Schroder makes free throw 2 of 2,Dennis Schroder,playoffs,22 - 32,2015 - 2016,1,10:37
93 - 104,ATL - CLE,400875765,2,Paul Millsap makes free throw 1 of 2,Paul Millsap,playoffs,26 - 35,2015 - 2016,1,7:46
93 - 104,ATL - CLE,400875765,2,Paul Millsap makes free throw 2 of 2,Paul Millsap,playoffs,27 - 35,2015 - 2016,1,7:46
93 - 104,ATL - CLE,400875765,2,Jeff Teague makes free throw 1 of 2,Jeff Teague,playoffs,30 - 41,2015 - 2016,1,6:13
93 - 104,ATL - CLE,400875765,2,Jeff Teague makes free throw 2 of 2,Jeff Teague,playoffs,31 - 41,2015 - 2016,1,6:13
93 - 104,ATL - CLE,400875765,2,Kent Bazemore makes free throw 1 of 2,Kent Bazemore,playoffs,41 - 51,2015 - 2016,1,0:45
93 - 104,ATL - CLE,400875765,2,Kent Bazemore misses free throw 2 of 2,Kent Bazemore,playoffs,41 - 51,2015 - 2016,0,0:45
93 - 104,ATL - CLE,400875765,3,Paul Millsap misses free throw 2 of 2,Paul Millsap,playoffs,43 - 54,2015 - 2016,0,10:15
93 - 104,ATL - CLE,400875765,3,Paul Millsap misses free throw 1 of 1,Paul Millsap,playoffs,43 - 54,2015 - 2016,0,10:15
93 - 104,ATL - CLE,400875765,3,Jeff Teague misses free throw 1 of 2,Jeff Teague,playoffs,51 - 63,2015 - 2016,0,6:03
93 - 104,ATL - CLE,400875765,3,Jeff Teague makes free throw 2 of 2,Jeff Teague,playoffs,52 - 63,2015 - 2016,1,6:03
93 - 104,ATL - CLE,400875765,3,Tristan Thompson makes free throw 1 of 2,Tristan Thompson,playoffs,52 - 67,2015 - 2016,1,5:01
93 - 104,ATL - CLE,400875765,3,Tristan Thompson misses free throw 2 of 2,Tristan Thompson,playoffs,52 - 67,2015 - 2016,0,5:01
93 - 104,ATL - CLE,400875765,3,Al Horford makes free throw 1 of 2,Al Horford,playoffs,66 - 75,2015 - 2016,1,0:40
93 - 104,ATL - CLE,400875765,3,Al Horford makes free throw 2 of 2,Al Horford,playoffs,67 - 75,2015 - 2016,1,0:40
93 - 104,ATL - CLE,400875765,4,Channing Frye makes free throw 1 of 3,Channing Frye,playoffs,70 - 77,2015 - 2016,1,11:00
93 - 104,ATL - CLE,400875765,4,Channing Frye makes free throw 2 of 3,Channing Frye,playoffs,70 - 78,2015 - 2016,1,11:00
93 - 104,ATL - CLE,400875765,4,Channing Frye makes free throw 3 of 3,Channing Frye,playoffs,70 - 79,2015 - 2016,1,11:00
93 - 104,ATL - CLE,400875765,4,Kyle Korver makes free throw 1 of 3,Kyle Korver,playoffs,76 - 79,2015 - 2016,1,9:45
93 - 104,ATL - CLE,400875765,4,Kyle Korver makes free throw 2 of 3,Kyle Korver,playoffs,77 - 79,2015 - 2016,1,9:45
93 - 104,ATL - CLE,400875765,4,Kyle Korver makes free throw 3 of 3,Kyle Korver,playoffs,78 - 79,2015 - 2016,1,9:45
93 - 104,ATL - CLE,400875765,4,J.R. Smith misses free throw 1 of 2,J.R. Smith,playoffs,86 - 86,2015 - 2016,0,6:20
93 - 104,ATL - CLE,400875765,4,J.R. Smith misses free throw 2 of 2,J.R. Smith,playoffs,86 - 86,2015 - 2016,0,6:20
93 - 104,ATL - CLE,400875765,4,Tristan Thompson misses free throw 1 of 2,Tristan Thompson,playoffs,86 - 86,2015 - 2016,0,5:22
93 - 104,ATL - CLE,400875765,4,Tristan Thompson makes free throw 2 of 2,Tristan Thompson,playoffs,86 - 87,2015 - 2016,1,5:22
93 - 104,ATL - CLE,400875765,4,Kevin Love makes free throw 1 of 3,Kevin Love,playoffs,88 - 91,2015 - 2016,1,3:31
93 - 104,ATL - CLE,400875765,4,Kevin Love misses free throw 2 of 3,Kevin Love,playoffs,88 - 91,2015 - 2016,0,3:31
93 - 104,ATL - CLE,400875765,4,Kevin Love makes free throw 3 of 3,Kevin Love,playoffs,88 - 92,2015 - 2016,1,3:31
93 - 104,ATL - CLE,400875765,4,LeBron James makes free throw 1 of 1,LeBron James,playoffs,88 - 95,2015 - 2016,1,2:09
93 - 104,ATL - CLE,400875765,4,Kevin Love makes free throw 1 of 2,Kevin Love,playoffs,88 - 96,2015 - 2016,1,1:39
93 - 104,ATL - CLE,400875765,4,Kevin Love makes free throw 2 of 2,Kevin Love,playoffs,88 - 97,2015 - 2016,1,1:39
93 - 104,ATL - CLE,400875765,4,Paul Millsap makes free throw 1 of 2,Paul Millsap,playoffs,89 - 97,2015 - 2016,1,1:28
93 - 104,ATL - CLE,400875765,4,Paul Millsap makes free throw 2 of 2,Paul Millsap,playoffs,90 - 97,2015 - 2016,1,1:28
93 - 104,ATL - CLE,400875765,4,Kyrie Irving makes free throw 1 of 2,Kyrie Irving,playoffs,90 - 100,2015 - 2016,1,0:51
93 - 104,ATL - CLE,400875765,4,Kyrie Irving makes free throw 2 of 2,Kyrie Irving,playoffs,90 - 101,2015 - 2016,1,0:51
93 - 104,ATL - CLE,400875765,4,Matthew Dellavedova misses free throw 1 of 2,Matthew Dellavedova,playoffs,90 - 101,2015 - 2016,0,0:40
93 - 104,ATL - CLE,400875765,4,Matthew Dellavedova makes free throw 2 of 2,Matthew Dellavedova,playoffs,90 - 102,2015 - 2016,1,0:40
98 - 123,ATL - CLE,400875766,1,Tristan Thompson makes free throw 1 of 2,Tristan Thompson,playoffs,6-Sep,2015 - 2016,1,8:14
98 - 123,ATL - CLE,400875766,1,Tristan Thompson misses free throw 2 of 2,Tristan Thompson,playoffs,6-Sep,2015 - 2016,0,8:14
98 - 123,ATL - CLE,400875766,1,Kyrie Irving makes free throw 1 of 2,Kyrie Irving,playoffs,9-Nov,2015 - 2016,1,7:16
98 - 123,ATL - CLE,400875766,1,Kyrie Irving makes free throw 2 of 2,Kyrie Irving,playoffs,10-Nov,2015 - 2016,1,7:16
98 - 123,ATL - CLE,400875766,1,Paul Millsap makes free throw 1 of 2,Paul Millsap,playoffs,16-Dec,2015 - 2016,1,6:20
98 - 123,ATL - CLE,400875766,1,Paul Millsap makes free throw 2 of 2,Paul Millsap,playoffs,13 - 16,2015 - 2016,1,6:20
98 - 123,ATL - CLE,400875766,1,Tristan Thompson makes free throw 1 of 2,Tristan Thompson,playoffs,18 - 31,2015 - 2016,1,0:50
98 - 123,ATL - CLE,400875766,1,Tristan Thompson makes free throw 2 of 2,Tristan Thompson,playoffs,18 - 32,2015 - 2016,1,0:50
98 - 123,ATL - CLE,400875766,2,Kent Bazemore makes free throw 1 of 1,Kent Bazemore,playoffs,23 - 38,2015 - 2016,1,10:55
98 - 123,ATL - CLE,400875766,2,Paul Millsap makes free throw 1 of 2,Paul Millsap,playoffs,26 - 49,2015 - 2016,1,7:56
98 - 123,ATL - CLE,400875766,2,Paul Millsap makes free throw 2 of 2,Paul Millsap,playoffs,27 - 49,2015 - 2016,1,7:56
98 - 123,ATL - CLE,400875766,2,Paul Millsap misses free throw 1 of 2,Paul Millsap,playoffs,27 - 52,2015 - 2016,0,7:28
98 - 123,ATL - CLE,400875766,2,Paul Millsap makes free throw 2 of 2,Paul Millsap,playoffs,28 - 52,2015 - 2016,1,7:28
98 - 123,ATL - CLE,400875766,2,Paul Millsap makes free throw 1 of 2,Paul Millsap,playoffs,29 - 54,2015 - 2016,1,6:15
98 - 123,ATL - CLE,400875766,2,Paul Millsap makes free throw 2 of 2,Paul Millsap,playoffs,30 - 54,2015 - 2016,1,6:15
98 - 123,ATL - CLE,400875766,2,Jeff Teague makes free throw 1 of 3,Jeff Teague,playoffs,33 - 56,2015 - 2016,1,4:54
98 - 123,ATL - CLE,400875766,2,Jeff Teague makes free throw 2 of 3,Jeff Teague,playoffs,34 - 56,2015 - 2016,1,4:54
98 - 123,ATL - CLE,400875766,2,Jeff Teague makes free throw 3 of 3,Jeff Teague,playoffs,35 - 56,2015 - 2016,1,4:54
98 - 123,ATL - CLE,400875766,2,Jeff Teague misses free throw 1 of 2,Jeff Teague,playoffs,35 - 59,2015 - 2016,0,4:22
98 - 123,ATL - CLE,400875766,2,Jeff Teague makes free throw 2 of 2,Jeff Teague,playoffs,36 - 59,2015 - 2016,1,4:22
98 - 123,ATL - CLE,400875766,2,LeBron James misses free throw 1 of 2,LeBron James,playoffs,36 - 62,2015 - 2016,0,3:31
98 - 123,ATL - CLE,400875766,2,LeBron James makes free throw 2 of 2,LeBron James,playoffs,36 - 63,2015 - 2016,1,3:31
98 - 123,ATL - CLE,400875766,2,Kevin Love makes free throw 1 of 2,Kevin Love,playoffs,36 - 67,2015 - 2016,1,2:09
98 - 123,ATL - CLE,400875766,2,Kevin Love makes free throw 2 of 2,Kevin Love,playoffs,36 - 68,2015 - 2016,1,2:09
98 - 123,ATL - CLE,400875766,2,Kent Bazemore makes free throw 1 of 2,Kent Bazemore,playoffs,37 - 74,2015 - 2016,1,0:02
98 - 123,ATL - CLE,400875766,2,Kent Bazemore makes free throw 2 of 2,Kent Bazemore,playoffs,38 - 74,2015 - 2016,1,0:02
98 - 123,ATL - CLE,400875766,3,Al Horford makes free throw 1 of 2,Al Horford,playoffs,39 - 76,2015 - 2016,1,11:15
98 - 123,ATL - CLE,400875766,3,Al Horford makes free throw 2 of 2,Al Horford,playoffs,40 - 76,2015 - 2016,1,11:15
98 - 123,ATL - CLE,400875766,3,LeBron James misses free throw 1 of 1,LeBron James,playoffs,40 - 78,2015 - 2016,0,10:18
98 - 123,ATL - CLE,400875766,3,LeBron James makes free throw 1 of 2,LeBron James,playoffs,56 - 89,2015 - 2016,1,5:58
98 - 123,ATL - CLE,400875766,3,LeBron James makes free throw 2 of 2,LeBron James,playoffs,56 - 90,2015 - 2016,1,5:58
98 - 123,ATL - CLE,400875766,3,Jeff Teague makes free throw 1 of 2,Jeff Teague,playoffs,57 - 90,2015 - 2016,1,5:52
98 - 123,ATL - CLE,400875766,3,Jeff Teague makes free throw 2 of 2,Jeff Teague,playoffs,58 - 90,2015 - 2016,1,5:52
98 - 123,ATL - CLE,400875766,3,Jeff Teague makes free throw 1 of 2,Jeff Teague,playoffs,59 - 93,2015 - 2016,1,5:16
98 - 123,ATL - CLE,400875766,3,Jeff Teague makes free throw 2 of 2,Jeff Teague,playoffs,60 - 93,2015 - 2016,1,5:16
98 - 123,ATL - CLE,400875766,3,Kyrie Irving misses free throw 1 of 2,Kyrie Irving,playoffs,60 - 96,2015 - 2016,0,4:47
98 - 123,ATL - CLE,400875766,3,Kyrie Irving makes free throw 2 of 2,Kyrie Irving,playoffs,60 - 97,2015 - 2016,1,4:47
98 - 123,ATL - CLE,400875766,3,Kyrie Irving makes free throw 1 of 2,Kyrie Irving,playoffs,60 - 98,2015 - 2016,1,4:18
98 - 123,ATL - CLE,400875766,3,Kyrie Irving makes free throw 2 of 2,Kyrie Irving,playoffs,60 - 99,2015 - 2016,1,4:18
98 - 123,ATL - CLE,400875766,3,LeBron James makes free throw 1 of 2,LeBron James,playoffs,60 - 100,2015 - 2016,1,3:50
98 - 123,ATL - CLE,400875766,3,LeBron James misses free throw 2 of 2,LeBron James,playoffs,60 - 100,2015 - 2016,0,3:50
98 - 123,ATL - CLE,400875766,3,LeBron James misses free throw 1 of 2,LeBron James,playoffs,64 - 100,2015 - 2016,0,2:44
98 - 123,ATL - CLE,400875766,3,LeBron James makes free throw 2 of 2,LeBron James,playoffs,64 - 101,2015 - 2016,1,2:44
98 - 123,ATL - CLE,400875766,3,Channing Frye makes free throw 1 of 2,Channing Frye,playoffs,66 - 104,2015 - 2016,1,0:50
98 - 123,ATL - CLE,400875766,3,Channing Frye misses free throw 2 of 2,Channing Frye,playoffs,66 - 104,2015 - 2016,0,0:50
98 - 123,ATL - CLE,400875766,3,Kris Humphries makes free throw 1 of 2,Kris Humphries,playoffs,67 - 104,2015 - 2016,1,0:33
98 - 123,ATL - CLE,400875766,3,Kris Humphries makes free throw 2 of 2,Kris Humphries,playoffs,68 - 104,2015 - 2016,1,0:33
98 - 123,ATL - CLE,400875766,3,Kris Humphries makes free throw 1 of 2,Kris Humphries,playoffs,69 - 106,2015 - 2016,1,0:03
98 - 123,ATL - CLE,400875766,3,Kris Humphries makes free throw 2 of 2,Kris Humphries,playoffs,70 - 106,2015 - 2016,1,0:03
98 - 123,ATL - CLE,400875766,4,Mike Scott makes free throw 1 of 2,Mike Scott,playoffs,79 - 108,2015 - 2016,1,10:02
98 - 123,ATL - CLE,400875766,4,Mike Scott makes free throw 2 of 2,Mike Scott,playoffs,80 - 108,2015 - 2016,1,10:02
98 - 123,ATL - CLE,400875766,4,Tim Hardaway Jr. misses free throw 1 of 2,Tim Hardaway,playoffs,88 - 117,2015 - 2016,0,5:56
98 - 123,ATL - CLE,400875766,4,Tim Hardaway Jr. makes free throw 2 of 2,Tim Hardaway,playoffs,89 - 117,2015 - 2016,1,5:56
121 - 108,CLE - ATL,400875767,1,Tristan Thompson misses free throw 1 of 2,Tristan Thompson,playoffs,8-Jun,2015 - 2016,0,8:49
121 - 108,CLE - ATL,400875767,1,Tristan Thompson misses free throw 2 of 2,Tristan Thompson,playoffs,8-Jun,2015 - 2016,0,8:49
121 - 108,CLE - ATL,400875767,1,Kevin Love makes free throw 1 of 2,Kevin Love,playoffs,11-Sep,2015 - 2016,1,7:56
121 - 108,CLE - ATL,400875767,1,Kevin Love makes free throw 2 of 2,Kevin Love,playoffs,11-Oct,2015 - 2016,1,7:56
121 - 108,CLE - ATL,400875767,1,Jeff Teague makes free throw 1 of 2,Jeff Teague,playoffs,12-Oct,2015 - 2016,1,7:37
121 - 108,CLE - ATL,400875767,1,Jeff Teague makes free throw 2 of 2,Jeff Teague,playoffs,13-Oct,2015 - 2016,1,7:37
